,prompt,source,index,precision,reciprocal_rank,caption_id
1676,A large white cat sitting on top of a piece of luggage.,mscoco,414,0.2,0.25,540472
1677,Closeup of a pizza with tomatoes on a plate.,mscoco,1817,0.4,0.25,176112
1678,A small elephant standing next to a white bird.,mscoco,3206,0.1,1.0,260748
1679,A woman is sitting outdoors at a table with a sandwich. ,mscoco,2811,0.3,0.3333333333333333,657695
1680,A group of people on horses walk along the beach.,mscoco,5138,0.9,1.0,154069
1681,A group of men playing a game with Nintendo Wii controllers.,mscoco,908,0.6,1.0,215376
1682,A stop sign with the mountains in the background.,mscoco,4512,0.5,1.0,825322
1683,Commuter rail cars at indoor train depot area.,mscoco,5567,0.2,1.0,777182
1684,Red commuter bus at curb with pedestrian walking on large path with trees.,mscoco,5486,0.1,1.0,665070
1685,Group of giraffes in an outdoor exhibit with onlookers.,mscoco,5554,0.2,1.0,709779
1686,A zebra standing in a open field with bushes.,mscoco,1349,0.0,0.06666666666666667,271247
1687,A man is skating on a skate board.,mscoco,583,0.2,0.3333333333333333,190405
1688,A man uses a pizza wheel to prepare his dinner.,mscoco,4885,0.0,0.005747126436781609,636977
1689,A bathroom with a TV near the mirror,mscoco,2677,0.4,1.0,1670
1690,A woman biting into a sandwich at a table.,mscoco,878,0.3,1.0,793814
1691,A person cutting into a doughnut in a box.,mscoco,3178,0.2,0.25,458755
1692,A large bathroom with a white marble counter top and red rugs.,mscoco,683,0.2,0.3333333333333333,66484
1693,a man on a skate board riding down a ramp,mscoco,5387,0.4,0.3333333333333333,737093
1694,Train with lush green forests in the background and water in the foreground.,mscoco,4890,0.3,0.3333333333333333,58191
1695,An elephant walking near a fence in an enclosure.,mscoco,3037,0.7,1.0,415473
1696,A group of cross country skiers skiing on a trail,mscoco,946,0.8,1.0,494589
1697,A bird with red eyes and claws is perched on a branch. ,mscoco,3027,0.1,0.2,718490
1698,"A keyboard made of water, the water is made of light, the light is turned off.",drawbench,161,0.0,0.0,161
1699,Two people are preparing a meal in the kitchen.,mscoco,2360,0.8,1.0,52078
1700,"A sign posted on a wooden stake saying ""Stop the Drop 1080.""",mscoco,5133,0.1,0.5,770019
1701,A vegetable sandwich sits on a paper plate.,mscoco,83,0.1,0.1,102628
1702,Two pastries and a coffee sit on a table.,mscoco,1124,0.0,0.01818181818181818,799142
1703,a large herd of elephants standing in the water,mscoco,3023,0.9,1.0,375532
1704,A skateboarder is balanced on the lip of a half pipe.,mscoco,2571,0.3,0.2,420379
1705,a street sign near a traffic light ,mscoco,3295,0.6,1.0,783933
1706,A body of water with a bench on a hill underneath a tree behind it.,mscoco,4348,0.3,1.0,828349
1707,A silver American Airlines airplane at an airport. ,mscoco,1227,0.0,0.029411764705882353,776216
1708,A young boy riding a pedal boat at an amusement park.,mscoco,868,0.1,1.0,83278
1709,Two matching skis abut in the snow with mountain and cloudy sky.,mscoco,4272,0.1,0.5,399193
1710,"Muzzled, leashed dog sitting next to a ""Beware of Dog"" sign in a shop ",mscoco,4897,0.1,1.0,345445
1711,A blue umbrella sits open on the ground near steps.,mscoco,104,0.2,1.0,331018
1712,A man with a surfboard is walking along the beach.,mscoco,517,0.9,1.0,651819
1713,A couple of giraffes sitting and standing in an enclosure at a zoo.,mscoco,874,0.4,0.25,716219
1714,A male tennis player swings at a served ball.,mscoco,1669,0.4,0.5,398698
1715,View of a small apartment kitchen and a balcony.,mscoco,5017,0.1,1.0,75034
1716,A street sign is standing on the corner of the street.,mscoco,4833,0.1,0.14285714285714285,542718
1717,A display case of teddy bears wearing various clothing.,mscoco,4952,0.7,1.0,430497
1718,Many sheep are roaming in a grassy field.,mscoco,4149,0.7,1.0,671446
1719,Skiers coming down and walking up a slope.,mscoco,746,0.6,1.0,111222
1720,a girl lays on a bed with her dog,mscoco,3211,0.2,0.5,180908
1721,A woman is sitting underneath an colorful umbrella on the beach.,mscoco,1278,0.2,1.0,228797
1722,A dog running beside three sheep in a large field.,mscoco,4752,0.4,0.5,133719
1723,A computer desk houses both a laptop and a PC computer and monitor.,mscoco,3119,0.6,1.0,253260
1724,A baseball player with a bat at home plate.,mscoco,2736,0.8,1.0,593482
1725,A light airplane flying in a cloudy sky,mscoco,2131,0.4,1.0,419464
1726,Old train car and railway with buildings in the background,mscoco,5739,0.1,0.25,669195
1727,A smiling woman is standing in a vegetable garden next to a house.,mscoco,2318,0.1,1.0,642576
1728,A white cow standing on a sandy beach with boats in the background.,mscoco,3099,0.2,1.0,674450
1729,"A colorful, cartoonish hot air balloon at an outdoor event",mscoco,5309,0.1,1.0,495455
1730,Two women dressed in blue outfits with cell phones.,mscoco,4829,0.1,1.0,178544
1731,A tennis player is on the court with his white uniform and tennis racket as a crowd looks on.,mscoco,68,0.0,0.09090909090909091,82761
1732,A black and white dog jumping into the air to catch a red frisbee.,mscoco,1890,0.2,0.1111111111111111,123714
1733,"A bowl of chicken, lo mein noodles and vegetables.",mscoco,199,0.2,1.0,31418
1734,A street scene with several cars and a bus.,mscoco,4609,0.5,1.0,16182
1735,Two stuffed polar bears in a snowy exhibit,mscoco,2391,0.5,0.3333333333333333,278082
1736,A small bunch of bananas holding a photograph.,mscoco,3336,0.1,0.5,191279
1737,three baby elephants being playful in the wild ,mscoco,4583,0.0,0.08333333333333333,718553
1738,A World War Plane sitting in an indoor museum.,mscoco,3507,0.6,1.0,791085
1739,Several people crossing at a crosswalk holding umbrellas.,mscoco,457,0.7,1.0,70658
1740,A prepared pizza being served at a table.,mscoco,4248,0.3,0.25,701029
1741,Three dogs on the street.,drawbench,42,0.0,0.00033478406427854036,42
1742,A white bird with black eyes and beak flying over grass.,mscoco,3050,0.2,1.0,792149
1743,Two boys in uniforms running towards a soccer ball. ,mscoco,1295,0.6,1.0,446268
1744,Several different fruits and vegetables arranged on a counter.,mscoco,468,0.9,1.0,25411
1745,A small wooden cutting board and knife with a cut apple.,mscoco,1958,0.6,1.0,573346
1746,Baseball player at home plate swinging at a pitch coming over the plate,mscoco,4814,0.3,1.0,654568
1747,The men are playing a ball game in the field.,mscoco,1888,0.1,1.0,761133
1748,Close up of very young baby giraffe nursing.,mscoco,5573,0.2,1.0,292975
1749,A man flying through the air over a skateboard.,mscoco,3374,0.0,0.003125,443800
1750,An orange motorcycle that is parked in the street.,mscoco,4415,0.3,0.5,706967
1751,a zebra is drinking under a shade tree,mscoco,1655,0.1,0.3333333333333333,658051
1752,a group of small boats parked next to some rocks in the water,mscoco,3961,0.1,1.0,720789
1753,Two cars on the street.,drawbench,36,0.0,0.022727272727272728,36
1754,A man jumping in the air to catch a frisbee,mscoco,5206,1.0,1.0,290187
1755,A bus driving down the road near a church and traffic light.,mscoco,4040,0.0,0.08333333333333333,584473
1756,A pair of scissors with a white handle and five blades.,mscoco,2420,0.1,1.0,593193
1757,A man and woman at table making game pieces out of a box.,mscoco,2897,0.1,0.5,285334
1758,A woman and a child looking at  giraffes as one looks at the camera.,mscoco,1312,0.0,0.0010660980810234541,427979
1759,Person and their child cook over the stove while child stands in high stand.,mscoco,2617,0.1,1.0,734848
1760,A double decker bus with the top half green and the bottom orange.,mscoco,3203,0.1,1.0,176338
1761,A bed with white sheets and pillows with a laptop on it.,mscoco,2624,0.5,1.0,136216
1762,a close up of an elephant with trees in the background,mscoco,3113,0.2,1.0,288685
1763,A woman standing in a kitchen preparing food.,mscoco,903,0.3,1.0,412138
1764,Children playing tennis on a clay-court outdoors. ,mscoco,5858,0.2,0.5,798791
1765,A man in a suit and tie with sunglasses riding on a skateboard in an empty parking lot.,mscoco,5934,0.1,1.0,155809
1766,Smiling man wearing a t-shirt with a vibrant tie-dyed neck tie,mscoco,3678,0.1,1.0,60337
1767,an image of a light show in a bedroom,mscoco,2170,0.1,0.25,229820
1768,An umbrella provides some shade for two people working at an archeological site. ,mscoco,5859,0.1,1.0,587189
1769,a fat cat laying on a towel next to a chair,mscoco,3222,0.1,0.1111111111111111,73923
1770,A baseball player swinging at a ball during a game,mscoco,1204,0.3,0.5,85164
1771,A stack of suitcases on brown table next to a wall.,mscoco,3786,0.1,0.3333333333333333,367471
1772,A teddy bear in yellow holding a chocolate muffin.,mscoco,117,0.1,1.0,71402
1773,A galley kitchen in a house or apartment ,mscoco,4617,0.4,0.2,676521
1774,Men on bikes cross the path of a bus moving through a festival.,mscoco,4848,0.1,0.25,84995
1775,A group of baseball players on the field during a game,mscoco,3643,0.4,0.5,500328
1776,A white and black ceramic vase with yellow flowers.,mscoco,4289,0.2,0.3333333333333333,416526
1777,A young man sitting in a chair holding a Nintendo Wii controller.,mscoco,5107,0.6,1.0,97715
1778,A very small bathroom with red tile flooring.,mscoco,2955,0.1,0.2,556365
1779,Two men are riding bikes in front of the school,mscoco,2394,0.1,1.0,705687
1780,A skier is walking up a snowy mountain.,mscoco,3659,0.5,0.5,582077
1781,This is a red kitchen with an oven and cooking supplies.,mscoco,81,0.1,0.3333333333333333,777033
1782,Several boats are docked next to a bock in a harbor. ,mscoco,2853,0.8,1.0,82467
1783,A pitcher in the middle of delivering a pitch.,mscoco,1840,0.5,0.5,636294
1784,Two men riding on skateboard down a sidewalk.,mscoco,2018,0.0,0.07692307692307693,423683
1785,Slider burgers with hot dog and fries on plate on table,mscoco,3517,0.1,1.0,461837
1786,Several elephants near a waterfall in a zoo setting.,mscoco,4293,0.3,0.25,674109
1787,A yard filled with bicycles next to a parking lot.,mscoco,245,0.1,1.0,295481
1788,A baseball player with his bat up in swinging position. ,mscoco,711,0.0,0.08333333333333333,787169
1789,A baseball player swings at a pitch during a game.,mscoco,1266,0.4,0.14285714285714285,225585
1790,a horse race with jockeys running along a beach,mscoco,4176,0.3,1.0,393351
1791,A boat sits at the end of a pier on a sunny day with blue skies.,mscoco,4760,0.1,0.2,76926
1792,A man wearing skis on a snowy mountain. ,mscoco,4321,0.4,1.0,130036
1793,A baseball player is holding his bat over his head.,mscoco,1379,0.1,0.25,648815
1794,a refrigerator a white cabinet a microwave and some blue walls,mscoco,4383,0.0,0.011111111111111112,776344
1795,a large display of bananas and other fruit,mscoco,3909,0.9,1.0,212158
1796,A man in blue and black jacket sitting on toilet holding a beer outdoors.,mscoco,2244,0.1,1.0,399866
1797,The action at home plate in a professional baseball game.,mscoco,3770,0.0,0.07692307692307693,642442
1798,A woman riding in a horse drawn sled pulled by a pony,mscoco,1126,0.2,1.0,499719
1799,a hotel room with a nice tv and sofa setup,mscoco,59,0.0,0.004016064257028112,539473
1800,A man with a beard holding a bin of fruit and vegetables.,mscoco,2603,0.2,0.5,739192
1801,A sign in front of a brick wall that says accident prone zone,mscoco,2945,0.1,1.0,316461
1802,A white and green train on tracks with people inside,mscoco,4187,0.0,0.08333333333333333,315184
1803,An corner office has computers and a laptop set up.,mscoco,1116,0.2,0.14285714285714285,4782
1804,A street corner with a sign and windows on the building.,mscoco,2590,0.1,0.25,756623
1805,An adult and a baby elephant eating in the wild.,mscoco,1540,0.1,0.14285714285714285,390641
1806,Mother and daughter enjoying a sidewalk cafe meal,mscoco,4621,0.1,0.5,112592
1807,A green cake that is shaped to be a train,mscoco,5578,0.2,1.0,317605
1808,Ukraine International plane sitting on a runway at an airport. ,mscoco,5802,0.1,1.0,281359
1809,Two young boys sitting on the couch playing Wii games,mscoco,5318,0.3,1.0,431847
1810,A skateboarder skates next to a ledge in a skate park.,mscoco,959,0.0,0.0034482758620689655,649197
1811,two men eating sandwich on with a scarf on,mscoco,1321,0.0,0.08333333333333333,491644
1812,Toothbrushes and paste displayed in holder in bathroom.,mscoco,4313,0.5,0.5,581236
1813,A man in a pin-striped baseball uniform swinging a bat.,mscoco,5003,0.1,0.2,189702
1814,A old black and white photo of a small air plane,mscoco,536,0.6,0.5,282957
1815,A fire hydrant in front of a blossoming tree on the side of the road,mscoco,749,0.1,1.0,270284
1816,a dog in a field with many sheep ,mscoco,5928,0.9,1.0,576642
1817,a number of colorful decorative cakes on display,mscoco,1091,0.7,1.0,448319
1818,Several boats that are sitting on land outside of a hut.,mscoco,3622,0.1,0.3333333333333333,231251
1819,A giraffe in captivity eating a bale of hay positioned high on a post.,mscoco,2400,0.4,1.0,296149
1820,A stop sign is next to an electronic traffic signal.,mscoco,828,0.3,1.0,506285
1821,"Pink, white, and yellow flowers are shown in a vase.",mscoco,5882,0.2,1.0,59084
1822,Batter up as the boy behind the fence watches intently.,mscoco,4331,0.1,0.5,755998
1823,a close up of a sink with many items on a counter,mscoco,5924,0.3,0.5,426188
1824,A close up of a sandwich and fries on a table.,mscoco,4511,0.7,1.0,647650
1825,A pack of zebras standing around a dry pasture.,mscoco,1792,0.6,1.0,385291
1826,A bathroom area with a sink and toilet.,mscoco,1335,0.6,1.0,313742
1827,Double-decker bus moving down empty street with palm trees,mscoco,4287,0.2,1.0,579522
1828,A group of bikes are on the beach with a boat nearby on the water.,mscoco,5868,0.0,0.09090909090909091,287943
1829,A cat laying on top of a pair of shoes.,mscoco,3845,0.9,0.5,130326
1830,A black and white zebra stands out in the green background.,mscoco,4034,0.6,0.5,31156
1831,Young skateboarder performing trick in skate park with ramps.,mscoco,1012,0.5,0.5,575925
1832,A tan dog laying its head on a teddy bear,mscoco,514,0.3,0.5,129287
1833,Shirtless male surfer riding a board at the peak of a wave.,mscoco,1898,0.4,1.0,447465
1834,A vegetable pizza sitting in an open pizza box.,mscoco,242,0.3,0.3333333333333333,56685
1835,A red and white fire hydrant sitting on the side of a road.,mscoco,5508,0.6,0.5,642367
1836,Two women in white clothes play a game of tennis.,mscoco,5226,0.4,1.0,408166
1837,The kitchen is clean and ready to use by the tenants. ,mscoco,961,0.1,0.125,300970
1838,A photograph of a bathroom undergoing some renovations.,mscoco,212,0.3,0.2,7996
1839,a bunch of food and blue plates on a table,mscoco,3915,0.4,0.5,630232
1840,Man with a bag sitting on a bench reading a magazine. ,mscoco,2336,0.2,0.3333333333333333,430354
1841,A plate of sup and crab cakes are sitting on a plate.,mscoco,1795,0.0,0.017241379310344827,534713
1842,"A kitchen has wood cabinets, a dishwasher, sink, and refrigerator. ",mscoco,5160,0.2,0.3333333333333333,663785
1843,View of the underside of a large airplane with its landing gear out.,mscoco,388,0.1,1.0,499442
1844,A young elephant is walking in the dirt next to a stump.,mscoco,1910,0.1,0.5,287496
1845,A large jetliner sitting on top of an airport runway.,mscoco,5701,0.0,0.06666666666666667,711503
1846,Many people are on a beach with the view of the water and a mountain range.,mscoco,888,0.2,0.3333333333333333,197397
1847,Cars going past an intersection with lights at night.,mscoco,2177,0.6,1.0,761553
1848,A white horse on grassy area with trees in the background.,mscoco,1673,0.3,1.0,355771
1849,A large brown brick clock tower with a clock on every side.,mscoco,538,0.4,1.0,38351
1850,A bed topped with blankets and sheets next to a door..,mscoco,2321,0.1,0.14285714285714285,532305
1851,living room with architectural prints on the wall ,mscoco,4914,0.0,0.04,2337
1852,A car travelling down a road where a herd of cattle are resting on the side of the road.,mscoco,5675,0.3,1.0,231119
1853,Two blue double decker buses are on the road.  ,mscoco,3240,0.3,0.5,820417
1854,A skateboarder practicing his moves on a ramp.,mscoco,2204,0.3,0.25,113738
1855,A plate of pizza topped with shell macaroni and cheese.,mscoco,4747,0.3,0.25,436238
1856,A living room with a sewing machine during a sunny day.,mscoco,4741,0.1,0.5,332773
1857,A clock on a tower on top of a brick building.,mscoco,2459,0.7,1.0,381272
1858,A boy eating a chocolate donut with sprinkles.,mscoco,5196,0.5,1.0,59401
1859,a small pizza that is on a brown table,mscoco,4540,0.0,0.005952380952380952,783279
1860,A little boy that is standing in front of a refrigerator.,mscoco,725,0.8,1.0,473511
1861,"A train with red, white and blue colored cars at a station.",mscoco,702,0.1,0.5,136294
1862,Adult woman looking into open refrigerator in kitchen.,mscoco,2885,0.7,1.0,394893
1863,A plate contains a roasted bird with a side of carrots. ,mscoco,3372,0.1,0.5,170395
1864,A baseball game is played in front of a full crowd.,mscoco,3251,0.6,0.5,634543
1865,A red double decker bus is on the street.,mscoco,3264,1.0,1.0,648568
1866,A airplane is flying as an orange sunset disperses into the sky.,mscoco,736,1.0,1.0,499343
1867,A zebra grazing on grass at an open zoo.,mscoco,4973,0.6,1.0,21779
1868,entryway if a home with tile floor and wood doors,mscoco,4459,0.1,1.0,39040
1869,A cat sitting on a window sill looking out a window.,mscoco,885,0.5,0.5,292237
1870,A LOT OF PEOPLE WALKING THROUGH A BUSY SQUARE ,mscoco,2246,0.2,0.5,56050
1871,A black and white picture of bare cobblestone street.,mscoco,91,0.1,1.0,37166
1872,A man on a motorcycle with a dog sitting in front of him ,mscoco,5105,0.5,1.0,549546
1873,Many bird sit on a wooden stand. ,mscoco,4115,0.5,1.0,575377
1874,Cluttered but clean shared bathroom vanity counter top.,mscoco,53,0.3,0.25,45109
1875,A person slices a small pizza with a knife.,mscoco,1020,0.3,1.0,362254
1876,A traffic sign is shown next to a lake.,mscoco,3665,0.0,0.08333333333333333,127946
1877,A train is parked on a track in the city. ,mscoco,5409,0.3,1.0,8870
1878,A bed with three pillows and the covers pulled back.,mscoco,2274,0.1,0.1,613186
1879,A open door displaying a bathroom with a toilet.,mscoco,3911,0.8,1.0,238252
1880,The airplane is from the country of Singapore.,mscoco,5927,0.1,0.3333333333333333,314867
1881,A man talking on a cell phone in front a no cell phone sign.,mscoco,3559,0.0,0.01020408163265306,368218
1882,A bird eating a piece of bread on a branch.,mscoco,2422,0.1,0.5,524993
1883,A large pizza on a white plate sitting on a table.,mscoco,2649,0.4,0.5,38523
1884,A soccer player getting ready to kick the ball.,mscoco,4273,0.9,1.0,491424
1885,A PAIR OF ORANGE SCISSORS ARE ON THE CLOTH,mscoco,3386,0.2,0.1111111111111111,139864
1886,Two stuffed bears are sitting and holding each other.,mscoco,4805,0.8,1.0,679146
1887,Several people are shown in the water with their surf boards.,mscoco,781,0.9,1.0,652642
1888,"A young girl sitting in her bed with a laptop on her lap, talking on a phone.",mscoco,5631,0.1,1.0,280263
1889,Bowls of food and a beer are on a bright tablecloth.,mscoco,715,0.1,1.0,20843
1890,A person riding a bike next to a yellow school bus.,mscoco,2620,0.1,0.16666666666666666,677150
1891,A train on one of multiple parallel tracks passes under a bridge.,mscoco,2609,0.4,1.0,622134
1892,"A bowl containing broccoli, noodles, and dumplings in broth.",mscoco,2593,0.1,1.0,295993
1893,A Person with their head in their hands sits on a bench.,mscoco,561,0.1,0.14285714285714285,32923
1894,A small kitchen with a stove and large window,mscoco,2772,0.3,0.14285714285714285,657223
1895,A young person throws a Frisbee in a park.,mscoco,3177,0.5,1.0,654278
1896,A young man is feeding a cow by the edge of the road.,mscoco,3723,0.1,1.0,365435
1897,two elephants on a field of green of green grass,mscoco,1275,0.8,1.0,84635
1898,A toaster sits on the sidewalk in dim lighting.,mscoco,2380,0.1,1.0,786263
1899,Assortment of beach clothing and surfboard in back of vehicle.,mscoco,4860,0.1,1.0,777364
1900,A homemade pizza is generously topped with chicken and cheese.,mscoco,1851,0.2,1.0,126374
1901,A skateboarder is airborne above an indoor ramp.,mscoco,1486,0.6,1.0,426163
1902,A surfer walks along the shore with board in tow.,mscoco,4513,0.8,1.0,157644
1903,A brown colored giraffe.,drawbench,14,0.0,0.01282051282051282,14
1904,A baseball player is up to bat dodging a ball.,mscoco,3200,0.0,0.004291845493562232,174338
1905,An orange bicycle stands out in a black and white photograph.,mscoco,5049,0.1,1.0,186854
1906,A woman in a trench coat walks alongside a yellow bicycle.,mscoco,1127,0.1,1.0,635157
1907,a small white toilet in the bathroom with wood flooring,mscoco,1804,0.3,0.3333333333333333,527994
1908,Three people are playing frisbee on a grassy field.,mscoco,2654,0.5,0.25,84337
1909,A double decker bus stopped at a bus stop.,mscoco,4451,0.3,0.5,51428
1910,Yellow commuter train at station with passengers on platform.,mscoco,3930,0.5,0.3333333333333333,572235
1911,Two brown cows in the field eating grass.,mscoco,3994,0.7,1.0,11086
1912,Equestrian rider on gray horse jumping fence during competition.,mscoco,5890,0.2,0.16666666666666666,358999
1913,A white tow truck parked in front of a metro shop.,mscoco,4060,0.1,1.0,121931
1914,A made bed in a dark room with white curtains.,mscoco,3885,0.0,0.007575757575757576,621578
1915,A bus driving up a road on a rainy day.,mscoco,5811,0.3,0.5,47683
1916,A woman sits on a bicycle while talking to several men. ,mscoco,891,0.0,0.017241379310344827,206065
1917,two spotted giraffes eating from a tall tree,mscoco,3585,0.2,0.16666666666666666,590027
1918,A family on the river in a sailboat,mscoco,615,0.1,0.5,310272
1919,A train sitting on the tracks near a platform.,mscoco,5703,0.3,1.0,774735
1920,A person wearing a white shirt and colorful tie.,mscoco,3636,0.3,0.5,577996
1921,A group of people standing in a living room holding Wii game controllers.,mscoco,2665,0.6,1.0,584521
1922,A man in a brown suit and hat stands next to a bike.,mscoco,4972,0.2,1.0,190006
1923,Well designed kitchen area with cabinets and tiled floor.,mscoco,792,0.0,0.08333333333333333,416478
1924,A group of people sitting at a table eating food.,mscoco,2714,1.0,1.0,640473
1925,A man riding up the side of a ramp in a skate park.,mscoco,1068,0.5,1.0,462980
1926,A red double decker bus travels through the city.,mscoco,446,0.9,0.5,482920
1927,a plane flying away from a runway on a sunny day,mscoco,279,0.3,0.3333333333333333,730928
1928,A woman standing in a kitchen next to a sink.,mscoco,3461,0.2,1.0,722081
1929,dumping water into a toilet which resides in a garden.,mscoco,5969,0.1,1.0,412391
1930,Zebra and group of gazelle grazing on plain.,mscoco,1849,0.2,0.5,657522
1931,A huge heard of sheep are all scattered together. ,mscoco,3852,0.5,1.0,449536
1932,A bowl of soup on a table in a cafeteria.,mscoco,440,0.2,1.0,568909
1933,Several giraffes are standing near a tree in their enclosure.,mscoco,1687,0.6,1.0,772252
1934,A young boy riding on top of a skateboard near a street.,mscoco,3276,0.7,1.0,272632
1935,A fire hydrant leaving a shadow on a public sidewalk.,mscoco,761,0.5,1.0,75622
1936,Plate on table containing toast with fried egg and some meat with lettuce. ,mscoco,3442,0.1,1.0,815219
1937,A white robe hangs on a wall next to an empty bathtub.,mscoco,4059,0.3,1.0,819785
1938,A tall clock with a man on a cherry picker working on it.,mscoco,2938,0.1,1.0,261522
1939,A wii remote is aimed at a television screen.,mscoco,5460,0.1,1.0,673370
1940,A bathroom being remodeled filled with construction supplies.,mscoco,3101,0.6,0.5,620442
1941,Several cows are in barn while a child is among them.,mscoco,769,0.2,1.0,196370
1942,A young boy surfing on a blue surfboard,mscoco,1975,0.3,1.0,664249
1943,A group of men standing around a motorcycle.,mscoco,3341,0.4,1.0,615667
1944,A banana that is sitting in a coffee cup.,mscoco,4159,0.4,0.3333333333333333,543422
1945,a large tower with a clock built into the side of it,mscoco,501,0.5,1.0,721423
1946,Pedestrians and people on motor bikes travel down a busy street.,mscoco,790,0.6,0.5,621292
1947,a large white clock is on a tower,mscoco,3842,0.7,0.5,810425
1948,A man in glasses talking on a cellphone.,mscoco,1188,0.4,1.0,216778
1949,Several elephants are in a grassy place that is surrounded by thin trees.,mscoco,3731,0.0,0.03333333333333333,191965
1950,Passenger bus parked on street with sunset in background,mscoco,3463,0.2,0.2,317269
1951,Longhorn cows stand or recline in a barn.,mscoco,5142,0.1,0.25,24689
1952,The bathroom is decorated with an unusual wall paper.,mscoco,3391,0.2,0.3333333333333333,55538
1953,A person surfs a wave on top of a surfboard. ,mscoco,2980,0.2,0.16666666666666666,448345
1954,A man holding a black umbrella while standing on a bridge.,mscoco,2071,0.1,1.0,51108
1955,A herd of zebra standing next to a lush green tree.,mscoco,173,0.3,0.5,495252
1956,A small kitchen has appliances and houseplants on the window sill.,mscoco,5396,0.2,0.16666666666666666,135867
1957,A train crossing a street next to a railroad crossing signal.,mscoco,810,0.5,0.5,686844
1958,a person riding a skate board at a skate park,mscoco,2092,0.2,0.25,576970
1959,An orange bench in an urban park area,mscoco,5079,0.1,0.3333333333333333,771485
1960,A chef prepares a meal while diners eat nearby.,mscoco,5702,0.0,0.05263157894736842,797550
1961,Several items from an unboxed cell phone are on a table.,mscoco,1629,0.0,0.058823529411764705,634756
1962,a man in a hat rides a skateboard in a skateboard park,mscoco,2374,0.3,0.3333333333333333,236098
1963,A man standing on the side of a road next to a bus and fire engine.,mscoco,4908,0.1,0.16666666666666666,680826
1964,A man and a young child fly a kite in a park.,mscoco,2013,0.6,1.0,793823
1965,A small child in a gray hoodie eating a doughnut.,mscoco,4133,0.2,1.0,716399
1966,"A stop sign with a sticker reading ""eating animals.""",mscoco,2035,0.1,0.5,209030
1967,A cow laying in the middle of a street.,mscoco,1511,0.8,1.0,688898
1968,A close up of an orange in a red serving bowl.,mscoco,132,0.2,1.0,632571
1969,The blooming yellow flowers are in the copper vase.,mscoco,2953,0.1,1.0,514082
1970,Woman carrying bags eating a hotdog on a crowded street.,mscoco,311,0.4,1.0,372322
1971,Young boy doing a jump while riding a skateboard.,mscoco,672,0.5,1.0,823741
1972,"A fire hydrant with an ""OUT OF SERVICE"" sign sits in front of a house.",mscoco,4488,0.1,1.0,39434
1973,Several elephants are gathered at the edge of a water hole. ,mscoco,3346,0.9,1.0,176679
1974,a cat lounges on the seat of a red chair,mscoco,2750,0.7,1.0,209788
1975,A red and white bus is next to a truck.,mscoco,3544,0.1,0.14285714285714285,326468
1976,The kittens lays on the pink and white mat in bathroom.,mscoco,4376,0.1,1.0,140121
1977,A bed in a hotel room is made up with white and maroon linens. ,mscoco,5331,0.0,0.02631578947368421,468335
1978,An elephant by a small pool in a zoo.,mscoco,5820,0.6,1.0,404000
1979,A highway sign and a stop sign are on the street beside houses.,mscoco,1476,0.1,0.3333333333333333,434879
1980,A plate with a sandwich cut in half and onion rings.,mscoco,1964,0.2,0.5,31226
1981,A hitter is at bat in a baseball game.,mscoco,2583,0.2,0.2,649029
1982,A female tennis player on a court with a tennis racket.,mscoco,921,0.4,1.0,704683
1983,Two tennis players are on a team in a match.,mscoco,2405,0.1,0.16666666666666666,715802
1984,A group of people playing soccer on a beach.,mscoco,2711,0.3,1.0,209283
1985,Group of people riding bicycles and skateboards in a plaza.,mscoco,2613,0.0,0.038461538461538464,395127
1986,A yellow fire hydrant is the focal point of this picture.,mscoco,3180,0.8,1.0,605163
1987,a man uses a laptop with a group of people,mscoco,2260,0.1,1.0,774276
1988,A yellow and red train traveling down train tracks.,mscoco,475,0.1,0.125,494239
1989,A white cat sitting in a kitchen sink,mscoco,2385,0.1,1.0,359679
1990,A baby elephant is surrounded by older herd members.,mscoco,4391,0.6,1.0,717208
1991,A man rides his skateboard at a skate park.,mscoco,5323,0.6,0.3333333333333333,624255
1992,Young male rides a surfboard at an indoor wave pool.,mscoco,2777,0.1,1.0,7810
1993,a number of cows on a field with a mountain in the background,mscoco,328,0.6,0.5,568993
1994,Several peeled vegetables are sitting in a baking dish.,mscoco,3398,0.3,1.0,247600
1995,A whole cheese pizza sitting on a wood pan on a table. ,mscoco,3167,0.4,1.0,604134
1996,Many clothes are being unpacked from bags on the bed.,mscoco,5130,0.2,0.5,513957
1997,a close up of a hotdog in a paper box,mscoco,5446,0.6,1.0,311512
1998,a black and yellow trains engine pulling its cars,mscoco,2809,0.1,0.3333333333333333,581283
1999,A wooden park bench in heavily wooded area.,mscoco,925,0.5,0.5,382416
2000,A plate of food with chicken and vegetables . ,mscoco,1599,0.7,1.0,468290
2001,Close up of tennis ball with a mountain view.,mscoco,5077,0.1,1.0,253917
2002,A young boy holding a kite while running across a field.,mscoco,1940,0.8,1.0,224517
2003,a black and white photo of some horses in a field,mscoco,3500,0.3,0.5,417051
2004,A child in a pink suit  and an adult in a blue jacket downhill skiing.,mscoco,2792,0.1,0.125,547956
2005,A giraffe stretches its neck to reach leaves high on a tree.,mscoco,4647,0.2,0.16666666666666666,673833
2006,A woman prepares to cut a cake with red icing.,mscoco,3361,0.0,0.058823529411764705,787740
2007,An older man sits on a bench while gazing at the water.,mscoco,5433,0.5,1.0,645608
